iter	Passed	Remaining
791	2032	533
792	2035	531
793	2037	528
794	2039	525
795	2041	523
796	2044	520
797	2046	518
798	2048	515
799	2051	512
800	2053	510
801	2056	507
802	2059	505
803	2061	502
804	2063	499
805	2066	497
806	2068	494
807	2070	492
808	2073	489
809	2075	486
810	2078	484
811	2081	481
812	2083	479
813	2086	476
814	2088	474
815	2091	471
816	2093	468
817	2096	466
818	2098	463
819	2100	461
820	2103	458
821	2105	455
822	2107	453
823	2109	450
824	2112	448
825	2114	445
826	2116	442
827	2119	440
828	2121	437
829	2123	434
830	2125	432
831	2128	429
832	2130	427
833	2133	424
834	2135	422
835	2138	419
836	2140	416
837	2143	414
838	2145	411
839	2148	409
840	2151	406
841	2153	404
842	2156	401
843	2158	398
844	2160	396
845	2162	393
846	2165	391
847	2167	388
848	2169	385
849	2171	383
850	2173	380
851	2176	378
852	2178	375
853	2181	372
854	2184	370
855	2186	367
856	2189	365
857	2191	362
858	2193	360
859	2195	357
860	2198	354
861	2200	352
862	2202	349
863	2205	347
864	2207	344
865	2210	342
866	2212	339
867	2215	336
868	2217	334
869	2219	331
870	2221	329
871	2224	326
872	2226	323
873	2229	321
874	2231	318
875	2234	316
876	2237	313
877	2239	311
878	2242	308
879	2245	306
880	2248	303
881	2251	301
882	2253	298
883	2256	296
884	2259	293
885	2262	291
886	2265	288
887	2267	286
888	2270	283
889	2273	280
890	2275	278
891	2278	275
892	2282	273
893	2284	270
894	2287	268
895	2289	265
896	2292	263
897	2294	260
898	2297	258
899	2299	255
900	2302	253
901	2305	250
902	2307	247
903	2310	245
904	2313	242
905	2315	240
906	2318	237
907	2320	235
908	2323	232
909	2325	230
910	2328	227
911	2331	224
912	2333	222
913	2335	219
914	2338	217
915	2340	214
916	2343	212
917	2345	209
918	2347	206
919	2349	204
920	2352	201
921	2354	199
922	2357	196
923	2360	194
924	2362	191
925	2365	189
926	2367	186
927	2370	183
928	2372	181
929	2374	178
930	2376	176
931	2379	173
932	2381	171
933	2383	168
934	2386	165
935	2388	163
936	2390	160
937	2392	158
938	2395	155
939	2397	153
940	2400	150
941	2402	147
942	2405	145
943	2408	142
944	2410	140
945	2413	137
946	2415	135
947	2418	132
948	2420	130
949	2422	127
950	2425	124
951	2427	122
952	2429	119
953	2431	117
954	2434	114
955	2436	112
956	2438	109
957	2440	107
958	2443	104
959	2445	101
960	2448	99
961	2450	96
962	2453	94
